,date,permno,ret,prc,shrout
4411368,2017-11-30,10104,-0.036149315536022186,49.060001373291016,4173486.0
4423735,2017-12-29,10104,-0.03628215566277504,47.279998779296875,4139602.0
4425033,2018-01-31,10104,0.09517769515514374,51.59000015258789,4139602.0
4435138,2018-02-28,10104,-0.017832951620221138,50.66999816894531,4139602.0
4443604,2018-03-29,10104,-0.09709884226322174,45.75,4082313.0
4449616,2018-04-30,10104,0.002404331462457776,45.66999816894531,4082313.0
4459859,2018-05-31,10104,0.022991091012954712,46.720001220703125,4082313.0
4467049,2018-06-29,10104,-0.05693492665886879,44.060001373291016,3981155.0
4470022,2018-07-31,10104,0.08647296577692032,47.68000030517578,3981155.0
4477265,2018-08-31,10104,0.01887587085366249,48.58000183105469,3981155.0
4487292,2018-09-28,10104,0.06134210526943207,51.560001373291016,3787960.0
4496229,2018-10-31,10104,-0.04906906932592392,48.84000015258789,3787960.0
4506997,2018-11-30,10104,-0.0016380391316488385,48.7599983215332,3787960.0
4508881,2018-12-31,10104,-0.07403603196144104,45.150001525878906,3588919.0
4522144,2019-01-31,10104,0.1167219877243042,50.22999954223633,3588919.0
4526666,2019-02-28,10104,0.03782603144645691,52.130001068115234,3588919.0
4531205,2019-03-29,10104,0.030308805406093597,53.709999084472656,3417654.0
4540364,2019-04-30,10104,0.03463047370314598,55.33000183105469,3417654.0
4551844,2019-05-31,10104,-0.08548713475465775,50.599998474121094,3417654.0
4557951,2019-06-28,10104,0.125889390707016,56.970001220703125,3335819.0
4562582,2019-07-31,10104,-0.007547867018729448,56.29999923706055,3335819.0
4569003,2019-08-30,10104,-0.07531079649925232,52.060001373291016,3335819.0
4582324,2019-09-30,10104,0.05704950541257858,55.029998779296875,3282517.0
4585301,2019-10-31,10104,-0.005451519507914782,54.4900016784668,3282517.0
4594323,2019-11-29,10104,0.030280742794275284,56.13999938964844,3282517.0
4601685,2019-12-31,10104,-0.05628785118460655,52.97999954223633,3207649.0
4607929,2020-01-31,10104,-0.005473740864545107,52.45000076293945,3207649.0
4621305,2020-02-28,10104,-0.057006705552339554,49.459999084472656,3207649.0
4622419,2020-03-31,10104,-0.022846689447760582,48.33000183105469,3153584.0
4635097,2020-04-30,10104,0.10097246617078781,52.970001220703125,3153584.0
4643555,2020-05-29,10104,0.015102873556315899,53.77000045776367,3153584.0
4647835,2020-06-30,10104,0.027896596118807793,55.27000045776367,3068682.0
4653938,2020-07-31,10104,0.007599064614623785,55.45000076293945,3068682.0
4668072,2020-08-31,10104,0.0319206565618515,57.220001220703125,3068682.0
4675837,2020-09-30,10104,0.04334148019552231,59.70000076293945,3010888.0
4684115,2020-10-30,10104,-0.05611390620470047,56.11000061035156,3010888.0
4684817,2020-11-30,10104,0.02869364805519581,57.720001220703125,3010888.0
4699969,2020-12-31,10104,0.1207553893327713,64.69000244140625,2944034.0
4702805,2021-01-29,10104,-0.06214255839586258,60.43000030517578,2944034.0
4711952,2021-02-26,10104,0.06751616299152374,64.51000213623047,2944034.0
4723062,2021-03-31,10104,0.0877382680773735,70.16999816894531,2883535.0
4729718,2021-04-30,10104,0.08465160429477692,75.79000091552734,2883535.0
4736175,2021-05-28,10104,0.03892330080270767,78.73999786376953,2883535.0
4748212,2021-06-30,10104,-0.011430042795836926,77.83999633789062,2792000.0
4753105,2021-07-30,10104,0.12358689308166504,87.13999938964844,2792000.0
4768258,2021-08-31,10104,0.02283678948879242,89.12999725341797,2792000.0
4773991,2021-09-30,10104,-0.02243913523852825,87.12999725341797,2733686.0
4780813,2021-10-29,10104,0.10478601604700089,95.94000244140625,2733686.0
4790702,2021-11-30,10104,-0.054200589656829834,90.73999786376953,2733686.0
4804698,2021-12-31,10104,-0.038902346044778824,87.20999908447266,2670447.0
4812328,2022-01-31,10104,-0.06570342183113098,81.16000366210938,2670447.0
